#  time fluxes_layer
8.202709882894316252e+03 9.310460360629262502e-33
8.442842347858091671e+03 1.015224098434530719e-32
8.690004636081841454e+03 1.106986701129641410e-32
8.944402544041578949e+03 1.207056085787232285e-32
9.206247892858316845e+03 1.316159905281318851e-32
9.475758704668185601e+03 1.435143923511049128e-32
9.753159384155711450e+03 1.564879975249576713e-32
1.003868090540150661e+04 1.706301095563124565e-32
1.033256100419982249e+04 1.860523010559456463e-32
1.063504437600616438e+04 2.028690707324434372e-32
1.094638287967982978e+04 2.212044703896541959e-32
1.126683574719089120e+04 2.411965981799550881e-32
1.159666979946634456e+04 2.629903117452132545e-32
1.193615966855510487e+04 2.867557899554573761e-32
1.228558802629680213e+04 3.126706721810325842e-32
1.264524581968484745e+04 3.409206300898537335e-32
1.301543251311968015e+04 3.717232994032090266e-32
1.339645633775387796e+04 4.053010061631194425e-32
1.378863454813687713e+04 4.419177870780816612e-32
1.419229368637284460e+04 4.818406467478350172e-32
1.460776985401173260e+04 5.253551157324302464e-32
1.503540899189987067e+04 5.728013211305596720e-32
1.547556716822311864e+04 6.245217320125183113e-32
1.592861087498245433e+04 6.809172380849558356e-32
1.639491733314878729e+04 7.423960054006876732e-32
1.687487480675106053e+04 8.093981816329316227e-32
1.736888292615933096e+04 8.824442536841404450e-32
1.787735302083177885e+04 9.620653579299264278e-32
1.840070846180285298e+04 1.048846257266487751e-31
1.893938501419769455e+04 1.143436861741796356e-31
1.949383120006627723e+04 1.246515581020528817e-31
2.006450867183953960e+04 1.358883954746293790e-31
2.065189259671826585e+04 1.481355124667716199e-31
2.125647205231486805e+04 1.614791476476026902e-31
2.187875043387758706e+04 1.760164175298917532e-31
2.251924587343597159e+04 1.918548722091967051e-31
2.317849167121682331e+04 2.091152080898085996e-31
2.385703673968970543e+04 2.279125294161676583e-31
2.455544606061178638e+04 2.483797315978984251e-31
2.527430115545261287e+04 2.706651060705839323e-31
2.601420056959040085e+04 2.949167622733765017e-31
2.677576037068305959e+04 3.212847666598195710e-31
2.755961466162901706e+04 3.499863988701994997e-31
2.836641610854471219e+04 3.812125975988381209e-31
2.919683648419860401e+04 4.151969772869882954e-31
3.005156722735408403e+04 4.521662146404306765e-31
3.093132001848691652e+04 4.923703171256318868e-31
3.183682737235688546e+04 5.361040997445757394e-31
3.276884324792663392e+04 5.836503038388092036e-31
3.372814367613581999e+04 6.353213318017084789e-31
3.471552740605326835e+04 6.914865954131829875e-31
3.573181656994499644e+04 7.525011599954821441e-31
3.677785736781200831e+04 8.187641899123726731e-31
3.785452077196775645e+04 8.906972809697755696e-31
3.896270325224191038e+04 9.687354376353841010e-31
4.010332752241439448e+04 1.053314349930279710e-30
4.127734330850107654e+04 1.144775158541199214e-30
4.248572813953072182e+04 1.242865835978089522e-30
4.372948816147197067e+04 1.348769028236055419e-30
4.500965897498772392e+04 1.463315037486759895e-30
4.632730649771457684e+04 1.587117884778949740e-30
4.768352785178535851e+04 1.720893283544049958e-30
4.907945227733359206e+04 1.865395065475156446e-30
5.051624207274077344e+04 2.021279708726172960e-30
5.199509356240896886e+04 2.188408738678528357e-30
5.351723809286477626e+04 2.364117967295152621e-30
5.508394305802421150e+04 2.552927725449685959e-30
5.669651295447169832e+04 2.755740685109977486e-30
5.835629046763227234e+04 2.973655005659536121e-30
6.006465758974123310e+04 3.207684572853430391e-30
6.182303677054195578e+04 3.454677321945989462e-30
6.363289210167041892e+04 3.712295390510895559e-30
6.549573053571202036e+04 3.987034620530286003e-30
6.741310314094601199e+04 4.280543013988639446e-30
6.938660639282266493e+04 4.593459608675704063e-30
7.141788350324761996e+04 4.918100174196502807e-30
7.350862578878112254e+04 5.258758673666233788e-30
7.566057407889078604e+04 5.618156307796510377e-30
7.787552016543062928e+04 5.999316946429931184e-30
8.015530829455348430e+04 6.393002452546300386e-30
8.250183670229856216e+04 6.803908778756118926e-30
8.491705919513302797e+04 7.236039883007648363e-30
8.740298677676377702e+04 7.689243821252436362e-30
8.996168932257359847e+04 8.152918577522725166e-30
9.259529730307578575e+04 8.636159415993135077e-30
9.530600355782338011e+04 9.143361150394936389e-30
9.809606512124794244e+04 9.666229440649989024e-30
1.009678051019506383e+05 1.020279515412557272e-29
1.039236146170079883e+05 1.076161411528541479e-29
1.069659547829046933e+05 1.134296618401724691e-29
1.100973587647507375e+05 1.193367283341386811e-29
1.133204338854878588e+05 1.254497299646666961e-29
1.166378637968435214e+05 1.318298824801747669e-29
1.200524107138390827e+05 1.382986786591840159e-29
1.235669177147115988e+05 1.449421603064213817e-29
1.271843111081665120e+05 1.518528083829353213e-29
1.309076028699309682e+05 1.589091703349037898e-29
1.347398931506355293e+05 1.661041227670533541e-29
1.386843728571154061e+05 1.735628174066018347e-29
1.427443263092768029e+05 1.812072635090772610e-29
1.469231339747436577e+05 1.889608382379069415e-29
1.512242752835607389e+05 1.969889552972163577e-29
1.556513315252948669e+05 2.052258514520649737e-29
1.602079888309504313e+05 2.135671418219719678e-29
1.648980412421776855e+05 2.221874740835065910e-29
1.697253938703325402e+05 2.310356030006899554e-29
1.746940661480177369e+05 2.399919361642821009e-29
1.798081951758101350e+05 2.492538858823311773e-29
1.850720391669642995e+05 2.587359270591202299e-29
1.904899809929593757e+05 2.683443030003677370e-29
1.960665318328390131e+05 2.782885834350984852e-29
2.018063349293864740e+05 2.884229795614571907e-29
2.077141694552615518e+05 2.987338448182305069e-29
2.137949544923150679e+05 3.094267850847861267e-29
2.200537531274002686e+05 3.202499119361304599e-29
2.264957766680851637e+05 3.313121253581923406e-29
2.331263889817807067e+05 3.427744336437826670e-29
2.399511109618962801e+05 3.543418438245179899e-29
2.469756251247383188e+05 3.662539928107743297e-29
2.542057803409859189e+05 3.785182034592920639e-29
2.616475967056752997e+05 3.909180589786285908e-29
2.693072705507547944e+05 4.037481842582611091e-29
2.771911796043810900e+05 4.168160238910595270e-29
2.853058883012503502e+05 4.301601032219039277e-29
2.936581532483904739e+05 4.439710051415093282e-29
3.022549288509631297e+05 4.579431996298889886e-29
3.111033731027575559e+05 4.723222634154368709e-29
3.202108535462020664e+05 4.870786365184563800e-29
3.295849534068537760e+05 5.020973820181361147e-29
3.392334779074706021e+05 5.176465184141304083e-29
3.491644607669318211e+05 5.333908549583135535e-29
3.593861708894075709e+05 5.495865203025319627e-29
3.699071192493554554e+05 5.662106749209971182e-29
3.807360659780742717e+05 5.831506152132269562e-29
3.918820276577118784e+05 6.006552311298794130e-29
4.033542848288074601e+05 6.184157011137735756e-29
4.151623897176112514e+05 6.367537103250068149e-29
4.273161741896232706e+05 6.554653500626775296e-29
4.398257579359692754e+05 6.746431254723400452e-29
4.527015568994284840e+05 6.943708339833564142e-29
4.659542919471343630e+05 7.144367123030478045e-29
4.795949977971671615e+05 7.351868282032391013e-29
4.936350322064660722e+05 7.562685619956808001e-29
5.080860854277197504e+05 7.780290039328033448e-29
5.229601899431053898e+05 8.001945036907699293e-29
5.382697304829750210e+05 8.229884862881668518e-29
5.540274543378456729e+05 8.463574628330788054e-29
5.702464819722609827e+05 8.702883362126044129e-29
5.869403179493785137e+05 8.948374308551293798e-29
6.041228621753699845e+05 9.199127684585574312e-29
6.218084214729948435e+05 9.457410802597710976e-29
6.400117214939948171e+05 9.720924199975243476e-29
6.587479189802135807e+05 9.992311614570874136e-29
6.780326143836620031e+05 1.026881785360537249e-28
6.978818648560357979e+05 1.055389428980947901e-28
7.183121976184896193e+05 1.084490282856549562e-28
7.393406237228161190e+05 1.114438924130860244e-28
7.609846522154798731e+05 1.144961454627903191e-28
7.832623047162933508e+05 1.176397789087022378e-28
8.061921304238877492e+05 1.208488728182842086e-28
8.297932215604648227e+05 1.241533370561507308e-28
8.540852292686825385e+05 1.275255006414935192e-28
8.790883799739318201e+05 1.309922786876015705e-28
9.048234922256005229e+05 1.345378088500121396e-28
9.313119940313715488e+05 1.381793458686422521e-28
9.585759406989788404e+05 1.419029073338953197e-28
9.866380332002671203e+05 1.457204759814359834e-28
1.015521637072868994e+06 1.496329157726584466e-28
1.045250801875210716e+06 1.536430260015325410e-28
1.075850281211067457e+06 1.577548967557114815e-28
1.107345553340335144e+06 1.619602204889077698e-28
1.139762842393165920e+06 1.662772934388598820e-28
1.173129140205153497e+06 1.706895818735388413e-28
1.207472228791739559e+06 1.752169394978663411e-28
1.242820703480540775e+06 1.798520660999605504e-28
1.279203996720882365e+06 1.845990905125416675e-28
1.316652402590348152e+06 1.894637945876564123e-28
1.355197102018743986e+06 1.944433725107605414e-28
1.394870188750504050e+06 1.995467672197343164e-28
1.435704696067123208e+06 2.047698012353384051e-28
1.477734624291893560e+06 2.101107453505978297e-28
1.520994969099837355e+06 2.155901098022197984e-28
1.565521750656393822e+06 2.211953481331985411e-28
1.611352043609151850e+06 2.269289016871872549e-28
1.658524007957567926e+06 2.328068101139843945e-28
1.707076920826396206e+06 2.388220303718168380e-28
1.757051209169284906e+06 2.449693197424255244e-28
1.808488483429743908e+06 2.512610147568249926e-28
1.861431572187546175e+06 2.577023656654062346e-28
1.915924557819397189e+06 2.642873238743886315e-28
1.972012813203540165e+06 2.710229747956352099e-28
2.029743039498904487e+06 2.779216453640363836e-28
2.089163305030222749e+06 2.849705502905873805e-28
2.150323085311486386e+06 2.921730326969277822e-28
2.213273304241107777e+06 2.995372632322906018e-28
2.278066376503029373e+06 3.070682822677120686e-28
2.344756251209135633e+06 3.147620979677669311e-28
2.413398456819290761e+06 3.226207312896690751e-28
2.484050147376373876e+06 3.306635321933173041e-28
2.556770150094872806e+06 3.388678037360371486e-28
2.631619014342581388e+06 3.472496880769280596e-28
2.708659062056256924e+06 3.558079373194422646e-28
2.787954439633178059e+06 3.645435830851152860e-28
2.869571171341798268e+06 3.734567732467107306e-28
2.953577214296001010e+06 3.825620466999511217e-28
3.040042515038723126e+06 3.918520410616102336e-28
3.129039067782016471e+06 4.013201182941149650e-28
3.220640974352106452e+06 4.109815295249652352e-28
3.314924505889324937e+06 4.208255520686051930e-28
3.411968166354266461e+06 4.308603245320984247e-28
3.511852757893118542e+06 4.410886920420145205e-28
3.614661448116496671e+06 4.515130927463022576e-28
3.720479839347890113e+06 4.621265822756445872e-28
3.829396039899338037e+06 4.729321055081031773e-28
3.941500737433644477e+06 4.839183795719877768e-28
4.056887274474320002e+06 4.951059864782927200e-28
4.175651726125993766e+06 5.064834170543652959e-28
4.297892980070117861e+06 5.180497545333663702e-28
4.423712818902526982e+06 5.298097249958078598e-28
4.553216004881367087e+06 5.417537130134229940e-28
4.686510367156052962e+06 5.538743332090439797e-28
4.823706891549819149e+06 5.661764385071766372e-28
4.964919812970601022e+06 5.786581944494254371e-28
5.110266710527268238e+06 5.913147999851465180e-28
5.259868605430354364e+06 6.041440354110102682e-28
5.413850061758768745e+06 6.171339193494081220e-28
5.572339290176504292e+06 6.302770568762155321e-28
5.735468254685543478e+06 6.435595270076479541e-28
5.903372782503992319e+06 6.569835546039602493e-28
6.076192677160875872e+06 6.705517010139684997e-28
6.254071834901685826e+06 6.842604437956456478e-28
6.437158364501777105e+06 6.980970891657276864e-28
6.625604710587176494e+06 7.120564913716831907e-28
6.819567780565641820e+06 7.261265699525094605e-28
7.019209075273603201e+06 7.403073907142069202e-28
7.224694823447697796e+06 7.545886130259615291e-28
7.436196120133000426e+06 7.689583370250072892e-28
7.653889069143110886e+06 7.833932062233227905e-28
7.877954929690668359e+06 7.978698593717949617e-28
8.108580267310510390e+06 8.123886998120884837e-28
8.345957109201071784e+06 8.269344114468496904e-28
8.590283104113280773e+06 8.414925491320986744e-28
8.841761686920305714e+06 8.560454905075558387e-28
9.100602248004887253e+06 8.705469761396526597e-28
9.367020307605614886e+06 8.849874512846365368e-28
9.641237695266943425e+06 8.993546078072827292e-28
9.923482734542815015e+06 9.136107671863859742e-28
1.021399043310724944e+07 9.277588453995468895e-28
1.051300267843037471e+07 9.417396185592084341e-28
1.082076843918302096e+07 9.555144735281494923e-28
1.113754397253717110e+07 9.690671351230351182e-28
1.146359303753522038e+07 9.823715798431527780e-28
1.179918711470542848e+07 9.953940886881522255e-28
1.214460563210680522e+07 1.008093772293130082e-27
1.250013619799119793e+07 1.020410694658222626e-27
1.286607484027649090e+07 1.032312430490669522e-27
1.324272625303056464e+07 1.043772512500236413e-27
1.363040405017080344e+07 1.054753144641752593e-27
1.402943102659054846e+07 1.065171043248231081e-27
1.444013942693027668e+07 1.075000638836837841e-27
1.486287122221669555e+07 1.084178145061680642e-27
1.529797839460039884e+07 1.092679721859732934e-27
1.574582323042942211e+07 1.100450405240048228e-27
1.620677862190219387e+07 1.107408002266795089e-27
1.668122837755127624e+07 1.113508890772132413e-27
1.716956754181678221e+07 1.118699379101127032e-27
1.767220272397489101e+07 1.122957671019021553e-27
1.818955243669570982e+07 1.126198629373335121e-27
1.872204744451260194e+07 1.128358148062000338e-27
1.927013112249258906e+07 1.129399287515280574e-27
1.983425982540689781e+07 1.129298040285847148e-27
2.041490326770871505e+07 1.128016739377571907e-27
2.101254491463504359e+07 1.125460858230727740e-27
2.162768238475769386e+07 1.121617439874812377e-27
2.226082786431875452e+07 1.116478882505176026e-27
2.291250853369614482e+07 1.110023857237811020e-27
2.358326700635334104e+07 1.102206534459020175e-27
2.427366178063935041e+07 1.093015708075442788e-27
2.498426770481536165e+07 1.082493989780668478e-27
2.571567645569460094e+07 1.070634160233954561e-27
2.646849703129416332e+07 1.057422759059728127e-27
2.724335625790968165e+07 1.042901575330295395e-27
2.804089931203385070e+07 1.027138410466923832e-27
2.886179025755443051e+07 1.010175422655244740e-27
2.970671259867817536e+07 9.920208102561719068e-28
3.057636984904210642e+07 9.727884309962171492e-28
3.147148611748486757e+07 9.525533190667101027e-28
3.239280671096637100e+07 9.313755110361188120e-28
3.334109875513833016e+07 9.093370585703393818e-28
3.431715183308132738e+07 8.865681941954276393e-28
3.532177864274074137e+07 8.631569347717224636e-28
3.635581567360952497e+07 8.391588678830124753e-28
3.742012390322016925e+07 8.147217748671676372e-28
3.851558951402626187e+07 7.899557731798092887e-28
3.964312463127125800e+07 7.649217493651237411e-28
4.080366808245752752e+07 7.397423238166426049e-28
4.199818617904864997e+07 7.145361223757809153e-28
4.322767352105662972e+07 6.893475736496572039e-28
4.449315382518248260e+07 6.642885243276265129e-28
4.579568077720037103e+07 6.394649431114522123e-28
4.713633890929596126e+07 6.148992784092261980e-28
4.851624450308774412e+07 5.906915010484933222e-28
4.993654651908462495e+07 5.669192514425302715e-28
5.139842755335262418e+07 5.435960460522890262e-28
5.290310482218873501e+07 5.207917507586857387e-28
5.445183117562004924e+07 4.985656483336058575e-28
5.604589614057270437e+07 4.769075242222642354e-28
5.768662699458049238e+07 4.558787544910376220e-28
5.937538987092489004e+07 4.355043505881899415e-28
6.111359089612794667e+07 4.157617369836898847e-28
6.290267736074597389e+07 3.967145513144360387e-28
6.474413892443693429e+07 3.783275785663313524e-28
6.663950885630585253e+07 3.606170899770414133e-28
6.859036531156225502e+07 3.436006239659492996e-28
7.059833264555008709e+07 3.272323316741226932e-28
7.266508276624651253e+07 3.115446407961180367e-28
7.479233652635368705e+07 2.965038851973757338e-28
7.698186515614548326e+07 2.820959782503625620e-28
7.923549173825892806e+07 2.683312810577597548e-28
8.155509272565980256e+07 2.551579173124801291e-28
8.394259950404796004e+07 2.425918870686636474e-28
8.640000000000000000e+07 2.305929302933915821e-28
