#  time fluxes_layer
8.640000000000000000e+02 1.088245038368561156e-35
8.892934033619015963e+02 1.186647004421874155e-35
9.153272653506871848e+02 1.293949368901873183e-35
9.421232627241382716e+02 1.410931635696837121e-35
9.697037068221850404e+02 1.538508904682222468e-35
9.980915621441580470e+02 1.677639774633051112e-35
1.027310465469879318e+03 1.829326732362768478e-35
1.057384745540518907e+03 1.994738794910021350e-35
1.088339443315609060e+03 2.175078933366854486e-35
1.120200332823073268e+03 2.371763746479276717e-35
1.152993942619636300e+03 2.586248072488957527e-35
1.186747577879483742e+03 2.820074007214628444e-35
1.221489343129559529e+03 3.075070573927270483e-35
1.257248165650439432e+03 3.353081449061900239e-35
1.294053819562254148e+03 3.656304775917726798e-35
1.331936950615723390e+03 3.986948561278813350e-35
1.370929101708946519e+03 4.347394013238923383e-35
1.411062739151184815e+03 4.740487331657718494e-35
1.452371279695514204e+03 5.169108140172619103e-35
1.494889118362852969e+03 5.636541056784712818e-35
1.538651657080525183e+03 6.146246413439862307e-35
1.583695334159224331e+03 6.701897316273027673e-35
1.630057654632895265e+03 7.307874651593030393e-35
1.677777221486813232e+03 7.968711209581571029e-35
1.726893767799864463e+03 8.689254405658478565e-35
1.777448189827776332e+03 9.474971400757236375e-35
1.829482581054855018e+03 1.033157754710087880e-34
1.883040267242579603e+03 1.126577175938586855e-34
1.938165842504233979e+03 1.228456277454823581e-34
1.994905206435622404e+03 1.339528020782089676e-34
2.053305602332769013e+03 1.460650770334545448e-34
2.113415656528434283e+03 1.592704724028925247e-34
2.175285418880207544e+03 1.736728449384860910e-34
2.238966404443865031e+03 1.893784159928137995e-34
2.304511636366718449e+03 2.065001290485127881e-34
2.371975690036649212e+03 2.251721732066336514e-34
2.441414738523595588e+03 2.455296691449680983e-34
2.512886599351337281e+03 2.677330849969767453e-34
2.586450782638503824e+03 2.919442675727968428e-34
2.662168540648899125e+03 3.183375208738718884e-34
2.740102918792415039e+03 3.471215096911163976e-34
2.820318808118965990e+03 3.785076847087839270e-34
2.902882999349186775e+03 4.127347473412304790e-34
2.987864238486857175e+03 4.500573118805684561e-34
3.075333284059367088e+03 4.907445019196655455e-34
3.165362966033898829e+03 5.351164107344452931e-34
3.258028246458345620e+03 5.835062196398517199e-34
3.353406281877488709e+03 6.362664730803706875e-34
3.451576487576402997e+03 6.937989898159054471e-34
3.552620603704557652e+03 7.565229193930874525e-34
3.656622763335693890e+03 8.249284216063180694e-34
3.763669562520141426e+03 8.995276797662580489e-34
3.873850132387888607e+03 9.808565898735108239e-34
3.987256213362475137e+03 1.069545705161035653e-33
4.103982231547460287e+03 1.166238567991821041e-33
4.224125377349088922e+03 1.271696815828794937e-33
4.347785686400634404e+03 1.386695680624889784e-33
4.475066122855765570e+03 1.512062085459766059e-33
4.606072665120315833e+03 1.648780588700687984e-33
4.740914394093833835e+03 1.797841894818174857e-33
4.879703583994367364e+03 1.960415618082732432e-33
5.022555795842152293e+03 2.137688880990593109e-33
5.169589973679992909e+03 2.330937062300298076e-33
5.320928543610468296e+03 2.541689702247897626e-33
5.476697515732453212e+03 2.771499659953752877e-33
5.637026589061787490e+03 3.022098344507524379e-33
5.802049259523482760e+03 3.295359471209321632e-33
5.971902931105371863e+03 3.593256586101560357e-33
6.146729030265753863e+03 3.918127446660270278e-33
6.326673123690316970e+03 4.272415345461052189e-33
6.511885039496340141e+03 4.658685611325095174e-33
6.702518991985128196e+03 5.079891662944297492e-33
6.898733710046570195e+03 5.539101012576274186e-33
7.100692569322676718e+03 6.039903572636589720e-33
7.308563728240195815e+03 6.586034074211075349e-33
7.522520268025549740e+03 7.181406914830658855e-33
7.742740336818663309e+03 7.830656082618222241e-33
7.969407298005722623e+03 8.538477304757169384e-33
