-0.01 0
0.01 3.88077e-05
0.03 0.000112414
0.05 0.000172859
0.07 0.000219846
0.09 0.000249889
0.11 0.00025756
0.13 0.000245518
0.15 0.000266428
0.17 0.000257024
0.19 0.000247336
0.21 0.000238388
0.23 0.000220544
0.25 0.000209413
0.27 0.000192657
0.29 0.000176345
0.31 0.000162998
0.33 0.000143492
0.35 0.000130479
0.37 0.000115839
0.39 0.000100136
0.41 8.34315e-05
0.43 6.67794e-05
0.45 5.33251e-05
0.47 4.31547e-05
0.49 3.17649e-05
0.51 2.51603e-05
0.53 2.00201e-05
0.55 1.56085e-05
0.57 1.20117e-05
0.59 9.52656e-06
0.61 7.62154e-06
0.63 6.1521e-06
0.65 5.08466e-06
0.67 3.85536e-06
0.69 2.85007e-06
0.71 2.08764e-06
0.73 1.60737e-06
0.75 1.05321e-06
0.77 7.32051e-07
0.79 5.93963e-07
0.81 4.13111e-07
0.83 2.1412e-07
0.85 1.44149e-07
0.87 9.88701e-08
0.89 4.14311e-08
0.91 3.56313e-09
0.93 0
0.95 0
0.97 0
0.99 0
1.01 0
