0.33012 0 0 0 0
0.840521 0.0232849 0.00924347 9.19819e-06 2.39857e-07
1.53386 0.0450814 0.0178961 1.78084e-05 4.64382e-07
2.79034 0.0856229 0.03399 3.38235e-05 8.81999e-07
4.88977 0.170179 0.0675565 6.72255e-05 1.75301e-06
8.44532 0.356398 0.14148 0.000140787 3.67125e-06
14.2034 0.754416 0.299483 0.000298016 7.77122e-06
21.4065 1.30224 0.516956 0.000514423 1.34144e-05
30.3011 1.93968 0.770002 0.00076623 1.99806e-05
41.369 2.65666 1.05462 0.00104945 2.73662e-05
54.7709 3.42151 1.35825 0.00135159 3.52449e-05
72.502 4.36889 1.73433 0.00172583 4.50038e-05
93.9281 5.44943 2.16328 0.00215268 5.61344e-05
118.582 6.51793 2.58744 0.00257477 6.71411e-05
149.585 7.68705 3.05155 0.0030366 7.91841e-05
188.153 9.04181 3.58935 0.00357177 9.31394e-05
233.491 10.4744 4.15805 0.00413768 0.000107896
287.658 11.9498 4.74374 0.0047205 0.000123094
352.892 13.4851 5.3532 0.00532698 0.000138909
433.083 15.1622 6.01897 0.00598948 0.000156185
529.943 16.9814 6.74118 0.00670815 0.000174926
646.171 18.8984 7.50215 0.00746539 0.000194672
785.908 20.8757 8.28711 0.00824651 0.000215041
950.644 22.773 9.04026 0.00899597 0.000234584
1146.53 24.503 9.72702 0.00967936 0.000252404
1377.04 25.9549 10.3034 0.0102529 0.000267361
1646.46 27.0029 10.7194 0.0106669 0.000278156
1960.39 27.5373 10.9316 0.010878 0.000283661
2325.1 27.4831 10.9101 0.0108566 0.000283103
2752.4 26.8421 10.6556 0.0106034 0.0002765
3257.85 25.696 10.2006 0.0101507 0.000264694
3862.83 24.165 9.59286 0.00954586 0.000248923
4594.87 22.3633 8.87761 0.00883411 0.000230363
5485.6 20.3555 8.08057 0.00804098 0.000209681
6582.94 18.1841 7.2186 0.00718324 0.000184156
7952.75 15.9187 6.31931 0.00628835 0.000150948
9689.13 13.6218 5.40747 0.00538098 0.00012121
11940.2 11.3501 4.5057 0.00448363 9.49637e-05
14939.4 9.17826 3.64352 0.00362567 7.23192e-05
19074.8 7.18002 2.85027 0.00283631 5.33256e-05
25027.5 5.37539 2.13389 0.00212343 3.76175e-05
34095.5 3.83482 1.52232 0.00151486 2.52504e-05
49027.4 2.58981 1.02809 0.00102305 1.59857e-05
76582.1 1.59202 0.63199 0.000628894 9.14763e-06
137689 0.84057 0.333684 0.000332049 4.43721e-06
330703 0.331603 0.131637 0.000130992 1.56319e-06
0 0 0 0 0
