-0.01 0
0.01 3.0041e-05
0.03 8.43839e-05
0.05 0.000126255
0.07 0.00015274
0.09 0.000156259
0.11 0.000144682
0.13 0.000133139
0.15 0.000109529
0.17 9.27645e-05
0.19 7.32311e-05
0.21 5.41923e-05
0.23 4.14675e-05
0.25 3.15587e-05
0.27 2.39401e-05
0.29 1.98262e-05
0.31 1.66636e-05
0.33 1.398e-05
0.35 1.17963e-05
0.37 9.86628e-06
0.39 8.91356e-06
0.41 8.26932e-06
0.43 7.25175e-06
0.45 6.75783e-06
0.47 6.30264e-06
0.49 5.14804e-06
0.51 4.54522e-06
0.53 3.93407e-06
0.55 3.49736e-06
0.57 2.59336e-06
0.59 2.00158e-06
0.61 1.03966e-06
0.63 7.34127e-07
0.65 4.80845e-07
0.67 2.93593e-07
0.69 1.51311e-07
0.71 8.96582e-08
0.73 2.79029e-08
0.75 1.10505e-08
0.77 2.6656e-09
0.79 0
0.81 0
0.83 0
0.85 0
0.87 0
0.89 0
0.91 0
0.93 0
0.95 0
0.97 0
0.99 0
1.01 0
