# nu      SYN SPN       SSC Sari Esin     Syn flux       IC flux     Total spectrum     Total spectrum with pp
  3.8264561e+13   7.1806829e-28   4.6411163e-35   5.2218551e-28   6.4547183e-36    5.1888520e-28      5.1888520e-28
  4.9492124e+13   6.0748445e-28   5.0567200e-35   4.3977318e-28   8.0610644e-36    4.3699373e-28      4.3699373e-28
  6.4014071e+13   5.1393073e-28   5.5095403e-35   3.7018093e-28   1.0015363e-35    3.6784132e-28      3.6784132e-28
  8.2797039e+13   4.3478445e-28   6.0029097e-35   3.1142968e-28   1.2374935e-35    3.0946140e-28      3.0946140e-28
  1.0709129e+14   3.6782684e-28   6.5404596e-35   2.6184444e-28   1.5201477e-35    2.6018955e-28      2.6018955e-28
  1.3851395e+14   3.1118083e-28   7.1261460e-35   2.2000808e-28   1.8558868e-35    2.1861760e-28      2.1861760e-28
  1.7915663e+14   2.6325841e-28   7.7642797e-35   1.8472177e-28   2.2506000e-35    1.8355431e-28      1.9348024e-28
  2.3172465e+14   2.2271613e-28   8.4595571e-35   1.5497147e-28   2.7075341e-35    1.5399205e-28      1.5429142e-28
  2.9971715e+14   1.8841743e-28   9.2170953e-35   1.2989946e-28   3.2227158e-35    1.2907850e-28      1.3171762e-28
  3.8765997e+14   1.5940080e-28   1.0042470e-34   1.0878027e-28   3.7804829e-35    1.0809279e-28      1.0359622e-28
  5.0140691e+14   1.3485278e-28   1.0941755e-34   9.1000330e-29   4.3603328e-35    9.0425232e-29      9.0075852e-29
  6.4852941e+14   1.1408521e-28   1.1921570e-34   7.6040719e-29   4.9508393e-35    7.5560175e-29      7.7040424e-29
  8.3882050e+14   9.6515875e-29   1.2989125e-34   6.3462593e-29   5.5488027e-35    6.3061552e-29      6.3185091e-29
  1.0849467e+15   8.1652253e-29   1.4152278e-34   5.2894843e-29   6.1598483e-35    5.2560598e-29      5.2269363e-29
  1.4032910e+15   6.9077655e-29   1.5419589e-34   4.4023648e-29   6.7852272e-35    4.3745477e-29      4.3958482e-29
  1.8150438e+15   5.8439569e-29   1.6800385e-34   3.6583646e-29   7.4255759e-35    3.6352504e-29      3.6247457e-29
  2.3476128e+15   4.9439768e-29   1.8304830e-34   3.0350468e-29   8.0815471e-35    3.0158726e-29      3.0119191e-29
